Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles
17,Patrick Dangerfield,Geelong,13.0,7.0,6.0,0.54,0.46,3.0,2.0,3.0
17,Rhys Stanley,Geelong,21.0,11.0,10.0,0.52,0.48,2.0,0.0,3.0
17,Shannon Neale,Geelong,14.0,7.0,7.0,0.5,0.5,8.0,3.0,2.0
17,Shaun Mannagh,Geelong,20.0,15.0,5.0,0.75,0.25,5.0,1.0,1.0
17,Tom Atkins,Geelong,17.0,6.0,11.0,0.35,0.65,2.0,0.0,17.0
17,Tom Stewart,Geelong,17.0,14.0,3.0,0.82,0.18,5.0,0.0,3.0
17,Zach Guthrie,Geelong,25.0,20.0,5.0,0.8,0.2,14.0,0.0,3.0
18,Bailey Smith,Geelong,26.0,17.0,9.0,0.65,0.35,4.0,0.0,6.0
18,Brad Close,Geelong,14.0,8.0,6.0,0.57,0.43,4.0,1.0,4.0
18,Connor O'Sullivan,Geelong,18.0,8.0,10.0,0.44,0.56,7.0,0.0,0.0
18,George Stevens,Geelong,,,,,,,,
18,Gryan Miers,Geelong,22.0,16.0,6.0,0.73,0.27,3.0,1.0,3.0
18,Jack Bowes,Geelong,12.0,10.0,2.0,0.83,0.17,2.0,1.0,1.0
18,Jack Henry,Geelong,14.0,10.0,4.0,0.71,0.29,4.0,0.0,0.0
18,Jack Martin,Geelong,14.0,9.0,5.0,0.64,0.36,8.0,0.0,2.0
18,Jeremy Cameron,Geelong,5.0,4.0,1.0,0.8,0.2,2.0,1.0,2.0
18,Lawson Humphries,Geelong,13.0,9.0,4.0,0.69,0.31,4.0,0.0,2.0
18,Mark Blicavs,Geelong,22.0,9.0,13.0,0.41,0.59,6.0,0.0,2.0
18,Mark O'Connor,Geelong,9.0,5.0,4.0,0.56,0.44,1.0,0.0,3.0
18,Max Holmes,Geelong,17.0,12.0,5.0,0.71,0.29,5.0,1.0,3.0
18,Oisin Mullin,Geelong,12.0,9.0,3.0,0.75,0.25,5.0,0.0,3.0
18,Oliver Dempsey,Geelong,18.0,10.0,8.0,0.56,0.44,6.0,1.0,3.0
18,Oliver Henry,Geelong,,,,,,,,
18,Patrick Dangerfield,Geelong,7.0,5.0,2.0,0.71,0.29,2.0,0.0,2.0
18,Rhys Stanley,Geelong,6.0,3.0,3.0,0.5,0.5,1.0,0.0,2.0
18,Shannon Neale,Geelong,7.0,6.0,1.0,0.86,0.14,4.0,5.0,2.0
18,Shaun Mannagh,Geelong,15.0,13.0,2.0,0.87,0.13,2.0,1.0,3.0
18,Tom Atkins,Geelong,18.0,8.0,10.0,0.44,0.56,3.0,0.0,6.0
18,Tom Stewart,Geelong,29.0,22.0,7.0,0.76,0.24,9.0,0.0,1.0
18,Zach Guthrie,Geelong,17.0,12.0,5.0,0.71,0.29,3.0,0.0,4.0
19,Bailey Smith,Geelong,23.0,10.0,13.0,0.43,0.57,3.0,0.0,4.0
19,Brad Close,Geelong,14.0,6.0,8.0,0.43,0.57,2.0,1.0,2.0
19,Connor O'Sullivan,Geelong,12.0,9.0,3.0,0.75,0.25,9.0,0.0,4.0
19,Gryan Miers,Geelong,26.0,12.0,14.0,0.46,0.54,1.0,0.0,5.0
19,Jack Bowes,Geelong,,,,,,,,
19,Jack Henry,Geelong,16.0,14.0,2.0,0.88,0.12,9.0,0.0,2.0
19,Jack Martin,Geelong,11.0,5.0,6.0,0.45,0.55,7.0,2.0,6.0
19,Jeremy Cameron,Geelong,14.0,11.0,3.0,0.79,0.21,4.0,5.0,0.0
19,Lawson Humphries,Geelong,15.0,11.0,4.0,0.73,0.27,5.0,0.0,3.0
19,Mark Blicavs,Geelong,15.0,5.0,10.0,0.33,0.67,4.0,0.0,2.0
19,Mark O'Connor,Geelong,8.0,6.0,2.0,0.75,0.25,3.0,0.0,0.0
19,Max Holmes,Geelong,32.0,22.0,10.0,0.69,0.31,7.0,0.0,4.0
19,Oisin Mullin,Geelong,10.0,8.0,2.0,0.8,0.2,5.0,0.0,5.0
19,Oliver Dempsey,Geelong,25.0,15.0,10.0,0.6,0.4,5.0,1.0,4.0
19,Patrick Dangerfield,Geelong,19.0,7.0,12.0,0.37,0.63,3.0,2.0,3.0
19,Rhys Stanley,Geelong,8.0,5.0,3.0,0.62,0.38,1.0,0.0,1.0
19,Sam De Koning,Geelong,11.0,4.0,7.0,0.36,0.64,2.0,0.0,0.0
19,Shannon Neale,Geelong,7.0,3.0,4.0,0.43,0.57,3.0,0.0,3.0
