Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
6,Sean Darcy,Fremantle,4.0,2.0,2.0,0.5,0.5,2.0,2.0,3.0,Ruck
6,Shai Bolton,Fremantle,20.0,15.0,5.0,0.75,0.25,9.0,3.0,0.0,Mid-Forward
7,Alex Pearce,Fremantle,10.0,4.0,6.0,0.4,0.6,4.0,0.0,3.0,Key Defender
7,Andrew Brayshaw,Fremantle,37.0,17.0,20.0,0.46,0.54,4.0,0.0,5.0,Midfielder
7,Brennan Cox,Fremantle,14.0,10.0,4.0,0.71,0.29,5.0,0.0,1.0,Key Defender
7,Caleb Serong,Fremantle,32.0,6.0,26.0,0.19,0.81,0.0,0.0,2.0,Midfielder
7,Corey Wagner,Fremantle,16.0,7.0,9.0,0.44,0.56,2.0,0.0,5.0,Midfielder
7,Hayden Young,Fremantle,20.0,10.0,10.0,0.5,0.5,3.0,1.0,3.0,Midfielder
7,Heath Chapman,Fremantle,7.0,5.0,2.0,0.71,0.29,2.0,0.0,1.0,Gen. Defender
7,Isaiah Dudley,Fremantle,4.0,3.0,1.0,0.75,0.25,0.0,0.0,4.0,Gen. Forward
7,Jeremy Sharp,Fremantle,5.0,1.0,4.0,0.2,0.8,0.0,0.0,2.0,Midfielder
7,Jordan Clark,Fremantle,27.0,17.0,10.0,0.63,0.37,6.0,0.0,4.0,Gen. Defender
7,Josh Treacy,Fremantle,15.0,13.0,2.0,0.87,0.13,7.0,2.0,0.0,Key Forward
7,Joshua Draper,Fremantle,11.0,6.0,5.0,0.55,0.45,6.0,0.0,0.0,Key Defender
7,Jye Amiss,Fremantle,6.0,4.0,2.0,0.67,0.33,3.0,2.0,1.0,Key Forward
7,Karl Worner,Fremantle,17.0,8.0,9.0,0.47,0.53,4.0,0.0,2.0,Gen. Defender
7,Luke Ryan,Fremantle,23.0,20.0,3.0,0.87,0.13,9.0,0.0,1.0,Gen. Defender
7,Matthew Johnson,Fremantle,27.0,13.0,14.0,0.48,0.52,8.0,0.0,3.0,Midfielder
7,Michael Frederick,Fremantle,11.0,8.0,3.0,0.73,0.27,6.0,2.0,1.0,Gen. Forward
7,Murphy Reid,Fremantle,6.0,3.0,3.0,0.5,0.5,0.0,1.0,4.0,Gen. Forward
7,Oscar McDonald,Fremantle,9.0,8.0,1.0,0.89,0.11,4.0,2.0,3.0,Key Defender
7,Quinton Narkle,Fremantle,,,,,,,,,Gen. Forward
7,Sam Switkowski,Fremantle,10.0,4.0,6.0,0.4,0.6,1.0,1.0,2.0,Gen. Forward
7,Sean Darcy,Fremantle,8.0,5.0,3.0,0.62,0.38,0.0,0.0,5.0,Ruck
7,Shai Bolton,Fremantle,22.0,11.0,11.0,0.5,0.5,0.0,1.0,1.0,Mid-Forward
8,Alex Pearce,Fremantle,18.0,11.0,7.0,0.61,0.39,6.0,0.0,3.0,Key Defender
8,Andrew Brayshaw,Fremantle,18.0,12.0,6.0,0.67,0.33,4.0,0.0,7.0,Midfielder
8,Brennan Cox,Fremantle,14.0,11.0,3.0,0.79,0.21,10.0,0.0,0.0,Key Defender
8,Caleb Serong,Fremantle,15.0,4.0,11.0,0.27,0.73,1.0,0.0,8.0,Midfielder
8,Corey Wagner,Fremantle,13.0,9.0,4.0,0.69,0.31,0.0,0.0,16.0,Midfielder
8,Hayden Young,Fremantle,,,,,,,,,Midfielder
8,Heath Chapman,Fremantle,8.0,8.0,0.0,1.0,0.0,3.0,0.0,3.0,Gen. Defender
8,Isaiah Dudley,Fremantle,7.0,4.0,3.0,0.57,0.43,1.0,1.0,8.0,Gen. Forward
8,Jeremy Sharp,Fremantle,17.0,11.0,6.0,0.65,0.35,3.0,0.0,1.0,Midfielder
8,Jordan Clark,Fremantle,16.0,9.0,7.0,0.56,0.44,2.0,0.0,4.0,Gen. Defender
8,Josh Treacy,Fremantle,6.0,4.0,2.0,0.67,0.33,4.0,0.0,0.0,Key Forward
8,Joshua Draper,Fremantle,13.0,6.0,7.0,0.46,0.54,4.0,0.0,5.0,Key Defender
8,Jye Amiss,Fremantle,8.0,5.0,3.0,0.62,0.38,5.0,2.0,1.0,Key Forward
8,Karl Worner,Fremantle,15.0,7.0,8.0,0.47,0.53,4.0,0.0,2.0,Gen. Defender
8,Luke Jackson,Fremantle,11.0,5.0,6.0,0.45,0.55,3.0,0.0,3.0,Ruck
8,Luke Ryan,Fremantle,24.0,19.0,5.0,0.79,0.21,7.0,0.0,3.0,Gen. Defender
8,Matthew Johnson,Fremantle,21.0,11.0,10.0,0.52,0.48,10.0,0.0,4.0,Midfielder
