Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
2,Izak Rankine,Adelaide,,,,,,,,,Mid-Forward
2,Jake Soligo,Adelaide,27.0,15.0,12.0,0.56,0.44,6.0,2.0,2.0,Midfielder
2,James Peatling,Adelaide,13.0,5.0,8.0,0.38,0.62,2.0,0.0,3.0,Midfielder
2,Jordan Dawson,Adelaide,33.0,22.0,11.0,0.67,0.33,8.0,0.0,6.0,Midfielder
2,Josh Rachele,Adelaide,16.0,13.0,3.0,0.81,0.19,8.0,4.0,1.0,Gen. Forward
2,Josh Worrell,Adelaide,18.0,11.0,7.0,0.61,0.39,8.0,0.0,3.0,Gen. Defender
2,Lachlan Sholl,Adelaide,19.0,14.0,5.0,0.74,0.26,9.0,1.0,0.0,Midfielder
2,Mark Keane,Adelaide,10.0,8.0,2.0,0.8,0.2,1.0,0.0,0.0,Key Defender
2,Matt Crouch,Adelaide,32.0,13.0,19.0,0.41,0.59,7.0,0.0,8.0,Midfielder
2,Max Michalanney,Adelaide,15.0,12.0,3.0,0.8,0.2,8.0,0.0,1.0,Gen. Defender
2,Mitchell Hinge,Adelaide,16.0,13.0,3.0,0.81,0.19,1.0,1.0,5.0,Gen. Defender
2,Nick Murray,Adelaide,13.0,8.0,5.0,0.62,0.38,5.0,0.0,3.0,Key Defender
2,Reilly O'Brien,Adelaide,10.0,4.0,6.0,0.4,0.6,2.0,0.0,3.0,Ruck
2,Riley Thilthorpe,Adelaide,16.0,10.0,6.0,0.62,0.38,7.0,3.0,2.0,Key Forward
2,Rory Laird,Adelaide,23.0,14.0,9.0,0.61,0.39,5.0,0.0,2.0,Gen. Defender
2,Sid Draper,Adelaide,,,,,,,,,Mid-Forward
2,Taylor Walker,Adelaide,13.0,10.0,3.0,0.77,0.23,10.0,1.0,2.0,Key Forward
2,Wayne Milera,Adelaide,18.0,16.0,2.0,0.89,0.11,6.0,1.0,1.0,Gen. Defender
3,Alex Neal-Bullen,Adelaide,12.0,8.0,4.0,0.67,0.33,3.0,1.0,3.0,Gen. Forward
3,Ben Keays,Adelaide,20.0,12.0,8.0,0.6,0.4,7.0,2.0,3.0,Gen. Forward
3,Daniel Curtin,Adelaide,15.0,11.0,4.0,0.73,0.27,5.0,2.0,3.0,Midfielder
3,Darcy Fogarty,Adelaide,6.0,4.0,2.0,0.67,0.33,3.0,2.0,1.0,Key Forward
3,Isaac Cumming,Adelaide,13.0,8.0,5.0,0.62,0.38,5.0,0.0,1.0,Midfielder
3,Izak Rankine,Adelaide,30.0,18.0,12.0,0.6,0.4,5.0,0.0,5.0,Mid-Forward
3,Jake Soligo,Adelaide,28.0,19.0,9.0,0.68,0.32,5.0,1.0,5.0,Midfielder
3,James Borlase,Adelaide,8.0,5.0,3.0,0.62,0.38,3.0,0.0,2.0,Key Defender
3,James Peatling,Adelaide,23.0,12.0,11.0,0.52,0.48,4.0,0.0,2.0,Midfielder
3,Jordan Dawson,Adelaide,19.0,11.0,8.0,0.58,0.42,3.0,0.0,6.0,Midfielder
3,Josh Rachele,Adelaide,,,,,,,,,Gen. Forward
3,Josh Worrell,Adelaide,18.0,13.0,5.0,0.72,0.28,4.0,0.0,1.0,Gen. Defender
3,Lachlan Sholl,Adelaide,9.0,6.0,3.0,0.67,0.33,4.0,0.0,1.0,Midfielder
3,Mark Keane,Adelaide,4.0,3.0,1.0,0.75,0.25,0.0,0.0,2.0,Key Defender
3,Matt Crouch,Adelaide,19.0,8.0,11.0,0.42,0.58,2.0,0.0,2.0,Midfielder
3,Max Michalanney,Adelaide,10.0,8.0,2.0,0.8,0.2,5.0,0.0,2.0,Gen. Defender
