Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
5,Jacob van Rooyen,Melbourne,7.0,2.0,5.0,0.29,0.71,1.0,0.0,2.0,Key Forward
5,Jake Bowey,Melbourne,23.0,18.0,5.0,0.78,0.22,6.0,0.0,2.0,Gen. Defender
5,Jake Melksham,Melbourne,7.0,5.0,2.0,0.71,0.29,3.0,0.0,2.0,Key Forward
5,Kade Chandler,Melbourne,11.0,7.0,4.0,0.64,0.36,3.0,0.0,6.0,Gen. Forward
5,Kysaiah Pickett,Melbourne,23.0,18.0,5.0,0.78,0.22,6.0,2.0,1.0,Mid-Forward
5,Max Gawn,Melbourne,22.0,7.0,15.0,0.32,0.68,4.0,0.0,2.0,Ruck
5,Steven May,Melbourne,12.0,9.0,3.0,0.75,0.25,3.0,0.0,1.0,Key Defender
5,Tom McDonald,Melbourne,15.0,8.0,7.0,0.53,0.47,4.0,0.0,2.0,Key Defender
5,Tom Sparrow,Melbourne,5.0,3.0,2.0,0.6,0.4,3.0,1.0,2.0,Gen. Forward
5,Trent Rivers,Melbourne,22.0,15.0,7.0,0.68,0.32,3.0,0.0,3.0,Gen. Defender
5,Xavier Lindsay,Melbourne,14.0,8.0,6.0,0.57,0.43,5.0,0.0,0.0,Midfielder
6,Blake Howes,Melbourne,14.0,9.0,5.0,0.64,0.36,8.0,0.0,1.0,Gen. Defender
6,Caleb Windsor,Melbourne,16.0,9.0,7.0,0.56,0.44,5.0,0.0,0.0,Gen. Defender
6,Charlie Spargo,Melbourne,19.0,10.0,9.0,0.53,0.47,3.0,0.0,4.0,Gen. Forward
6,Christian Petracca,Melbourne,25.0,13.0,12.0,0.52,0.48,5.0,1.0,5.0,Mid-Forward
6,Christian Salem,Melbourne,23.0,19.0,4.0,0.83,0.17,7.0,0.0,1.0,Gen. Defender
6,Clayton Oliver,Melbourne,25.0,5.0,20.0,0.2,0.8,1.0,0.0,6.0,Midfielder
6,Daniel Turner,Melbourne,,,,,,,,,Key Defender
6,Ed Langdon,Melbourne,22.0,12.0,10.0,0.55,0.45,7.0,0.0,1.0,Mid-Forward
6,Harrison Petty,Melbourne,10.0,6.0,4.0,0.6,0.4,5.0,4.0,2.0,Key Forward
6,Harry Sharp,Melbourne,,,,,,,,,Gen. Forward
6,Harvey Langford,Melbourne,17.0,10.0,7.0,0.59,0.41,2.0,2.0,2.0,Midfielder
6,Jack Viney,Melbourne,25.0,10.0,15.0,0.4,0.6,1.0,1.0,8.0,Midfielder
6,Jake Bowey,Melbourne,29.0,21.0,8.0,0.72,0.28,7.0,0.0,3.0,Gen. Defender
6,Jake Melksham,Melbourne,13.0,8.0,5.0,0.62,0.38,1.0,0.0,3.0,Key Forward
6,Kade Chandler,Melbourne,9.0,7.0,2.0,0.78,0.22,5.0,2.0,2.0,Gen. Forward
6,Koltyn Tholstrup,Melbourne,6.0,4.0,2.0,0.67,0.33,5.0,0.0,4.0,Gen. Forward
6,Kysaiah Pickett,Melbourne,24.0,16.0,8.0,0.67,0.33,5.0,5.0,3.0,Mid-Forward
6,Max Gawn,Melbourne,28.0,12.0,16.0,0.43,0.57,7.0,0.0,0.0,Ruck
6,Tom Fullarton,Melbourne,6.0,3.0,3.0,0.5,0.5,1.0,0.0,1.0,Key Forward
6,Tom McDonald,Melbourne,18.0,13.0,5.0,0.72,0.28,11.0,0.0,0.0,Key Defender
6,Tom Sparrow,Melbourne,13.0,9.0,4.0,0.69,0.31,6.0,0.0,4.0,Gen. Forward
6,Trent Rivers,Melbourne,26.0,19.0,7.0,0.73,0.27,10.0,1.0,4.0,Gen. Defender
6,Xavier Lindsay,Melbourne,16.0,10.0,6.0,0.62,0.38,4.0,0.0,2.0,Midfielder
7,Bayley Fritsch,Melbourne,8.0,6.0,2.0,0.75,0.25,4.0,2.0,0.0,Gen. Forward
7,Caleb Windsor,Melbourne,20.0,14.0,6.0,0.7,0.3,6.0,0.0,2.0,Gen. Defender
7,Charlie Spargo,Melbourne,7.0,3.0,4.0,0.43,0.57,1.0,0.0,4.0,Gen. Forward
7,Christian Petracca,Melbourne,28.0,11.0,17.0,0.39,0.61,7.0,2.0,4.0,Mid-Forward
7,Christian Salem,Melbourne,34.0,27.0,7.0,0.79,0.21,13.0,0.0,1.0,Gen. Defender
7,Clayton Oliver,Melbourne,22.0,9.0,13.0,0.41,0.59,2.0,0.0,7.0,Midfielder
7,Ed Langdon,Melbourne,28.0,9.0,19.0,0.32,0.68,7.0,1.0,2.0,Mid-Forward
7,Harrison Petty,Melbourne,9.0,6.0,3.0,0.67,0.33,2.0,2.0,2.0,Key Forward
7,Harry Sharp,Melbourne,,,,,,,,,Gen. Forward
7,Harvey Langford,Melbourne,21.0,11.0,10.0,0.52,0.48,4.0,0.0,2.0,Midfielder
7,Jack Viney,Melbourne,19.0,10.0,9.0,0.53,0.47,2.0,0.0,15.0,Midfielder
7,Jake Bowey,Melbourne,32.0,20.0,12.0,0.62,0.38,9.0,0.0,3.0,Gen. Defender
7,Judd McVee,Melbourne,22.0,11.0,11.0,0.5,0.5,4.0,0.0,2.0,Gen. Defender
7,Kade Chandler,Melbourne,18.0,10.0,8.0,0.56,0.44,7.0,2.0,3.0,Gen. Forward
7,Koltyn Tholstrup,Melbourne,4.0,1.0,3.0,0.25,0.75,1.0,1.0,2.0,Gen. Forward
7,Kysaiah Pickett,Melbourne,18.0,12.0,6.0,0.67,0.33,2.0,1.0,3.0,Mid-Forward
7,Max Gawn,Melbourne,25.0,11.0,14.0,0.44,0.56,9.0,0.0,4.0,Ruck
7,Steven May,Melbourne,20.0,13.0,7.0,0.65,0.35,10.0,0.0,1.0,Key Defender
7,Tom Fullarton,Melbourne,3.0,2.0,1.0,0.67,0.33,0.0,0.0,1.0,Key Forward
